,States,Regions,latitude,longitude,Dates,Usage
314,Chandigarh,NR,30.71999697,76.78000565,06/11/2019,4.6
315,Chhattisgarh,WR,22.09042035,82.15998734,06/11/2019,77.8
316,Gujarat,WR,22.2587,71.1924,06/11/2019,273.3
317,MP,WR,21.30039105,76.13001949,06/11/2019,236.9
318,Maharashtra,WR,19.25023195,73.16017493,06/11/2019,441.2
319,Goa,WR,15.491997,73.81800065,06/11/2019,10.1
320,DNH,WR,20.26657819,73.0166178,06/11/2019,17.9
321,Andhra Pradesh,SR,14.7504291,78.57002559,06/11/2019,156.0
322,Telangana,SR,18.1124,79.0193,06/11/2019,201.5
323,Karnataka,SR,12.57038129,76.91999711,06/11/2019,220.5
324,Kerala,SR,8.900372741,76.56999263,06/11/2019,70.2
325,Tamil Nadu,SR,12.92038576,79.15004187,06/11/2019,238.5
326,Pondy,SR,11.93499371,79.83000037,06/11/2019,5.7
327,Bihar,ER,25.78541445,87.4799727,06/11/2019,80.7
328,Jharkhand,ER,23.80039349,86.41998572,06/11/2019,24.9
329,Odisha,ER,19.82042971,85.90001746,06/11/2019,67.8
330,West Bengal,ER,22.58039044,88.32994665,06/11/2019,111.2
331,Sikkim,ER,27.3333303,88.6166475,06/11/2019,1.9
332,Arunachal Pradesh,NER,27.10039878,93.61660071,06/11/2019,2.2
333,Assam,NER,26.7499809,94.21666744,06/11/2019,20.5
334,Manipur,NER,24.79997072,93.95001705,06/11/2019,2.7
335,NER Meghalaya,NER,25.57049217,91.8800142,06/11/2019,5.9
336,Mizoram,NER,23.71039899,92.72001461,06/11/2019,1.3
337,Nagaland,NER,25.6669979,94.11657019,06/11/2019,2.1
338,Tripura,NER,23.83540428,91.27999914,06/11/2019,3.8
339,ALL INDIA TOTAL,,,,06/11/2019,3301.1
340,Punjab,NR,31.51997398,75.98000281,07/11/2019,112.0
341,Haryana,NR,28.45000633,77.01999101,07/11/2019,125.3
342,Rajasthan,NR,26.44999921,74.63998124,07/11/2019,225.9
343,Delhi,NR,28.6699929,77.23000403,07/11/2019,76.4
344,NR UP,NR,27.59998069,78.05000565,07/11/2019,253.9
345,Uttarakhand,NR,30.32040895,78.05000565,07/11/2019,39.8
346,HP,NR,31.10002545,77.16659704,07/11/2019,31.1
347,J&K,NR,33.45,76.24,07/11/2019,42.2
348,Chandigarh,NR,30.71999697,76.78000565,07/11/2019,4.7
349,Chhattisgarh,WR,22.09042035,82.15998734,07/11/2019,78.8
350,Gujarat,WR,22.2587,71.1924,07/11/2019,309.7
351,MP,WR,21.30039105,76.13001949,07/11/2019,214.5
352,Maharashtra,WR,19.25023195,73.16017493,07/11/2019,438.8
353,Goa,WR,15.491997,73.81800065,07/11/2019,10.0
354,DNH,WR,20.26657819,73.0166178,07/11/2019,18.2
355,Andhra Pradesh,SR,14.7504291,78.57002559,07/11/2019,153.7
356,Telangana,SR,18.1124,79.0193,07/11/2019,200.8
357,Karnataka,SR,12.57038129,76.91999711,07/11/2019,227.3
358,Kerala,SR,8.900372741,76.56999263,07/11/2019,70.1
359,Tamil Nadu,SR,12.92038576,79.15004187,07/11/2019,227.2
360,Pondy,SR,11.93499371,79.83000037,07/11/2019,5.2
361,Bihar,ER,25.78541445,87.4799727,07/11/2019,77.1
362,Jharkhand,ER,23.80039349,86.41998572,07/11/2019,25.4
363,Odisha,ER,19.82042971,85.90001746,07/11/2019,65.6
364,West Bengal,ER,22.58039044,88.32994665,07/11/2019,113.8
365,Sikkim,ER,27.3333303,88.6166475,07/11/2019,1.9
366,Arunachal Pradesh,NER,27.10039878,93.61660071,07/11/2019,2.3
367,Assam,NER,26.7499809,94.21666744,07/11/2019,20.9
368,Manipur,NER,24.79997072,93.95001705,07/11/2019,3.2
369,NER Meghalaya,NER,25.57049217,91.8800142,07/11/2019,6.1
370,Mizoram,NER,23.71039899,92.72001461,07/11/2019,1.6
371,Nagaland,NER,25.6669979,94.11657019,07/11/2019,2.2
372,Tripura,NER,23.83540428,91.27999914,07/11/2019,3.7
373,ALL INDIA TOTAL,,,,07/11/2019,3265.2
374,Punjab,NR,31.51997398,75.98000281,08/11/2019,111.6
375,Haryana,NR,28.45000633,77.01999101,08/11/2019,125.3
376,Rajasthan,NR,26.44999921,74.63998124,08/11/2019,228.1
377,Delhi,NR,28.6699929,77.23000403,08/11/2019,77.3
378,NR UP,NR,27.59998069,78.05000565,08/11/2019,260.9
379,Uttarakhand,NR,30.32040895,78.05000565,08/11/2019,39.1
380,HP,NR,31.10002545,77.16659704,08/11/2019,31.1
381,J&K,NR,33.45,76.24,08/11/2019,49.6
382,Chandigarh,NR,30.71999697,76.78000565,08/11/2019,4.6
383,Chhattisgarh,WR,22.09042035,82.15998734,08/11/2019,79.3
384,Gujarat,WR,22.2587,71.1924,08/11/2019,322.9
385,MP,WR,21.30039105,76.13001949,08/11/2019,225.0
386,Maharashtra,WR,19.25023195,73.16017493,08/11/2019,431.4
387,Goa,WR,15.491997,73.81800065,08/11/2019,9.5
388,DNH,WR,20.26657819,73.0166178,08/11/2019,18.0
389,Andhra Pradesh,SR,14.7504291,78.57002559,08/11/2019,167.5
390,Telangana,SR,18.1124,79.0193,08/11/2019,209.8
391,Karnataka,SR,12.57038129,76.91999711,08/11/2019,233.0
392,Kerala,SR,8.900372741,76.56999263,08/11/2019,71.4
393,Tamil Nadu,SR,12.92038576,79.15004187,08/11/2019,246.6
394,Pondy,SR,11.93499371,79.83000037,08/11/2019,5.4
395,Bihar,ER,25.78541445,87.4799727,08/11/2019,74.2
396,Jharkhand,ER,23.80039349,86.41998572,08/11/2019,25.2
397,Odisha,ER,19.82042971,85.90001746,08/11/2019,67.9
398,West Bengal,ER,22.58039044,88.32994665,08/11/2019,115.0
399,Sikkim,ER,27.3333303,88.6166475,08/11/2019,2.0
400,Arunachal Pradesh,NER,27.10039878,93.61660071,08/11/2019,2.2
401,Assam,NER,26.7499809,94.21666744,08/11/2019,22.0
402,Manipur,NER,24.79997072,93.95001705,08/11/2019,2.8
403,NER Meghalaya,NER,25.57049217,91.8800142,08/11/2019,6.0
404,Mizoram,NER,23.71039899,92.72001461,08/11/2019,1.6
405,Nagaland,NER,25.6669979,94.11657019,08/11/2019,2.3
406,Tripura,NER,23.83540428,91.27999914,08/11/2019,3.6
407,ALL INDIA TOTAL,,,,08/11/2019,3348.5
408,Punjab,NR,31.51997398,75.98000281,09/11/2019,110.4
409,Haryana,NR,28.45000633,77.01999101,09/11/2019,126.1
410,Rajasthan,NR,26.44999921,74.63998124,09/11/2019,230.2
411,Delhi,NR,28.6699929,77.23000403,09/11/2019,73.3
412,NR UP,NR,27.59998069,78.05000565,09/11/2019,279.8
413,Uttarakhand,NR,30.32040895,78.05000565,09/11/2019,39.6
414,HP,NR,31.10002545,77.16659704,09/11/2019,31.3
